,BRook1,BKnight1,BBishop1,BKing,BQueen1,BBishop2,BKnight2,BRook2,BPawn1,BPawn2,BPawn3,BPawn4,BPawn5,BPawn6,BPawn7,BPawn8,WPawn1,WPawn2,WPawn3,WPawn4,WPawn5,WPawn6,WPawn7,WPawn8,WRook1,WKnight1,WBishop1,WKing,WQueen1,WBishop2,WKnight2,WRook2,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,move_range_num
51,61.0,46.0,0.0,55.0,0.0,0.0,28.0,57.0,56.0,54.0,49.0,47.0,45.0,42.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,37.0,0.0,7.0,24.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
52,62.0,46.0,0.0,55.0,0.0,0.0,28.0,57.0,56.0,54.0,49.0,47.0,45.0,42.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,37.0,0.0,7.0,24.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
53,62.0,46.0,0.0,55.0,0.0,0.0,28.0,57.0,56.0,54.0,49.0,47.0,45.0,42.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,31.0,0.0,7.0,24.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
54,62.0,31.0,0.0,55.0,0.0,0.0,28.0,57.0,56.0,54.0,49.0,47.0,45.0,42.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,0.0,0.0,7.0,24.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
55,62.0,28.0,0.0,55.0,0.0,0.0,0.0,57.0,56.0,54.0,49.0,47.0,45.0,42.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,0.0,0.0,7.0,31.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
56,62.0,28.0,0.0,55.0,0.0,0.0,0.0,60.0,56.0,54.0,49.0,47.0,45.0,42.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,0.0,0.0,7.0,31.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
57,62.0,28.0,0.0,55.0,0.0,0.0,0.0,60.0,56.0,54.0,49.0,47.0,45.0,42.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,0.0,0.0,7.0,31.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
58,62.0,28.0,0.0,55.0,0.0,0.0,0.0,60.0,56.0,54.0,49.0,47.0,42.0,37.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,51.0,0.0,0.0,7.0,31.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
59,62.0,28.0,0.0,55.0,0.0,0.0,0.0,60.0,56.0,54.0,49.0,47.0,42.0,37.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,31.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
60,62.0,28.0,0.0,55.0,0.0,0.0,0.0,57.0,56.0,54.0,49.0,47.0,42.0,37.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,31.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
61,62.0,0.0,0.0,55.0,0.0,0.0,0.0,57.0,56.0,54.0,49.0,47.0,42.0,37.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,31.0,0.0,0.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
62,62.0,0.0,0.0,55.0,0.0,0.0,0.0,57.0,56.0,54.0,49.0,47.0,42.0,28.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352
63,62.0,0.0,0.0,55.0,0.0,0.0,0.0,57.0,56.0,54.0,49.0,47.0,42.0,0.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
64,62.0,0.0,0.0,48.0,0.0,0.0,0.0,57.0,56.0,54.0,49.0,47.0,42.0,0.0,0.0,0.0,23.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
65,62.0,0.0,0.0,48.0,0.0,0.0,0.0,57.0,56.0,54.0,49.0,47.0,42.0,0.0,0.0,0.0,31.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376
66,62.0,0.0,0.0,48.0,0.0,0.0,0.0,57.0,56.0,49.0,47.0,46.0,42.0,0.0,0.0,0.0,31.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370
67,62.0,0.0,0.0,48.0,0.0,0.0,0.0,57.0,56.0,49.0,47.0,46.0,42.0,0.0,0.0,0.0,31.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
68,62.0,0.0,0.0,48.0,0.0,0.0,0.0,57.0,56.0,49.0,46.0,42.0,39.0,0.0,0.0,0.0,31.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377
69,62.0,0.0,0.0,48.0,0.0,0.0,0.0,57.0,56.0,49.0,46.0,42.0,39.0,0.0,0.0,0.0,31.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
70,62.0,0.0,0.0,47.0,0.0,0.0,0.0,57.0,56.0,49.0,46.0,42.0,39.0,0.0,0.0,0.0,31.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
71,62.0,0.0,0.0,47.0,0.0,0.0,0.0,57.0,49.0,46.0,42.0,39.0,0.0,0.0,0.0,0.0,31.0,17.0,15.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
